name,price,qlty,cal,alc,bitter,malty
brooklyn.brand,6.24,97,159,5.2,52.5,50.5
leinenkugels.red,4.79,92,160,5,41.5,48.5
sam.adams.boston.lager,5.96,90,160,4.9,54.5,48.5
george.killians.irish.red,4.7,79,162,4.9,37,48
red.wolf,4.11,72,157,5.5,35.5,41
henry.weinhards.private.reserve,3.85,66,151,4.9,35,24
sterling,2.52,65,155,4.7,33.5,25
legacy,5.46,58,135,5.1,51,46
dominion,6,54,162,5.4,53.5,29
lone.stae,3.71,51,142,4.8,29.5,24.5
abita.amber,6.7,50,146,4.4,43,47
yuengling.premium,4.99,37,148,4.3,33.5,24
berghoff.original,4.1,30,170,5.1,39,26.5
sam.adams.boston.ale,5.96,98,160,5,57,76
sierra.nevada,6.31,96,172,5.8,68.5,69
full.sail.amber,6.42,92,170,5.9,62,84
liberty,7.79,90,184,6,80.5,78
elk.mountain.amber,5.05,87,201,5.6,54.5,76
celis.pale.bock,5.26,85,155,4.7,51,78
petes.wicked,5.84,82,170,5.3,57,86
anchor.steam,7.22,76,158,4.9,63,71.5
dock.street.amber,6.12,71,159,5.4,52,68
bass,7.37,64,150,5.1,58,71
redhook.esb,6.47,62,177,5.6,63.5,70
new.amsterdam.new.york,6.72,54,146,3.7,49.5,74
catamount.amber,7.59,49,151,4.9,61,65
red.nrctar,6.36,44,163,5.3,61,77
old.detroit.amber,6.52,43,186,5.9,53,64
bridgeport.blue.heron.pale,6.34,27,168,5.9,55.5,78.5
gearys.pale,7.1,24,142,4.7,72,68
molson.golden,4.78,89,148,5,27,23
labbat.blue,4.63,83,150,5,27.5,21
fosters,5.41,74,140,5,29,24
kirin,6.39,72,150,5,29.5,26
dos.equis,5.52,72,160,4.8,29,34.5
heineken,6.38,72,160,5,34.5,20
corona.extra,5.68,59,148,4.6,16,22
st.pauli.girl,5.82,48,148,4.9,39,20.5
becks,5.83,39,148,4.3,38,21.5
pilsner.urquell,7.8,30,160,4.1,56.5,34
old.milwaukee,2.82,89,145,4.5,21,12
strohs,3.2,88,142,4.4,21,12
reddog,3.83,83,147,5,21,12
budweiser,4.02,83,148,4.9,21,12
icehous,3.88,82,149,5.5,21,12
molson.ice,4.79,80,155,5.6,21,12
michelob,4,79,159,5,21,12
bud.ice,3.95,78,148,5.5,21,12
busch,3.27,78,143,4.9,21,12
coors.original,4.02,76,137,4.6,21,12
genesse.cream.ale,3.26,71,153,4.6,21,12
miller.high.life,3.19,70,143,5,21,12
pabst.blue.ribbon,2.9,68,144,4.7,21,12
milwaukees.best,2.36,67,133,4.6,21,12
miller.genuine.draft,3.93,65,143,5,21,12
rolling.rock,4.25,41,143,4.6,21,12
michelob.light,4.03,80,134,4.3,18.5,7
bud.light,4.02,77,110,4.2,18.5,7
natural.light,2.86,73,110,4.2,18.5,7
coors.light,4.03,68,105,4.2,18.5,7
miller.light,4.02,60,96,4.5,18.5,7
amstel.light,6.49,50,95,3.6,18.5,7
sharps.na,3.24,41,58,0.5,12,9
coors.cutter.na,3.6,40,82,0.5,8,16
kingsbury.na,2.99,40,60,0.5,10,7
old.milwaukee.na,2.75,39,72,0.5,12.5,5
odouls.na,3.9,30,70,0.5,8,7
kaiber.na,5.42,27,71,0.5,31,14
clausthaler.na,5.63,24,96,0.5,33,11
